Upperbound	TP	FP	FN	TN	P	N	Total	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1
5.95	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
5.96	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
5.97	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
5.98	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
5.99	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.01	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.02	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.03	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.04	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.05	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.06	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.07	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.08	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.09	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.1	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.11	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.12	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.13	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.14	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.15	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.16	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.17	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.18	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.19	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.2	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.21	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.22	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.23	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.24	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.25	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
